01-15,Figurine of Wondrous Power,100,1000
16,Flosk of Curses,***,1000
17-18,Gauntlets of Dexterity,1000,10000
19-20,Gauntlets of Fumbling,***,1000
21 -22,"Gauntlets of Ogre Power (C,F,T)",1000,15000
23-25,"Gauntlets of Swimming and Climbing  (C,F,T)",1000,10000
26,Gem of Brightness,2000,17500
27,Gem of Seeing,2000,25000
28,"Girdle of Femininity/Masculinity (C, F, T)",***,1000
29,"Girdle of Giant Strength (C, F, T)",200,2500
30,Helm of Brilliance,2500,60000
31-35,Helm of Comprehending Languages & Reading Magic,1000,12500
36-37,Helm of Opposite Alignment,***,1000
38-39,Helm of Telepathy,3000,35000
40,Helm of Teleportation,2500,30000
41 -45,Helm of Underwater Action,1000,10000
46,Horn of Blasting,5000,55000
47-48,Horn of Bubbles,***,***
49,Horn of Collapsing,1500,25000
50-53,"Horn of the Tritons (C, F)",2000,17500
54-60,Horn of Valhalla,1000**,"15,000""'"
61-63,Horseshoes of Speed,2000,10000
64-65,Horseshoes of a Zephyr,1500,7500
66-70,Incense of Meditation (C),500,7500
71,Incense of Obsession (C),***,500
72,loun Stones,300***,"5,000***"
73-78,Instrument of the Bards,1000****,"5,000****"
79-80,Iron Flask,***,***
81-85,Javelin of Lightning (F),250,3000
86-90,Javelin of Piercing (F),250,3000
91,Jewel of Attocks,***,1000
92,Jewel of Flawlessness,***,"l,000/facet"
93-100,Keoghtom's Ointment,500,10000
