1,Robe of the Archmagi (M),6000,65000
02-08,Robe of Blending,3500,35000
9,Robe of Eyes (M),4500,50000
10,Robe of Powerlessness (M),***,1000
11,"Robe of Scintillating Colors (C,M)",2750,25000
43453,Robe of Useful ftems (M),1500,15000
20-25,Rope of Climbing,1000,10000
26-27,Rope of Constriction,***,1000
28-31,Rope of Entonglement,1250,12000
32,Rug of Smothering,***,1500
33,Rug of Welcome (M),6500,45000
34,Saw of Mighty Cutting (F),1750,12500
35,Scorab of Deoth,***,2500
36-38,Scarab of Enraging Enemies,1000,8000
39-40,Scarab of insainty,1500,11000
41 -46,scarab of Protection,2500,25000
47,Spade of Colossal Excavation (F),1000,6500
48,Sphere of Annihilotion (M),3750,30000
49-50,Stone of Controlling Earth Elementals,1500,12500
51 -52,Stone of Good Luck (Luckstone),3000,25000
53-54,Stone of Weight (Loadstone),***,1000
55-57,Tolisman of Pure Good (C),3500,27500
58,Talisman of the Sphere (M),100,10000
59-60,Talisman of Ultimate Evil (C),3500,32500
61 -66,Talisman of Zagy,1000,10000
67,Tome of Clear Thought,8000,48000
68,Tome of Leadership and Influence,7500,40000
69,Tome of Understanding,8000,43500
70-76,"Trident of Fish Command (C, F, T)",500,4000
77-78,Trident of Submission (F),1250,12500
79-83,"Trident of Warning (C, F, T)",1000,10000
84-85,Trident of Yeorning,***,1000
86-87,Vacuous Grimoire,***,1000
88-90,Well of Many Worlds,6000,12000
91 -100,Wings of Flying,750,7500
