01-06,Candle of Invocation (C),1000,5000
07-08,Carpet of Flying,7500,25000
09-10,Censer Controlling Air Elementals (M),4000,25000
11,Censer of Summoning Hostile Air Elementals (M),***,1000
12-13,Chime of Opening,3500,20000
14,Chime of Hunger,***,***
15-18,Cloak of Displacement,3000,17500
19-27,Cloak of Elvenkind,1000,6000
28-30,Cloak of Manta Ray,2000,12500
31 -32,Cloak of Poisonousness,***,2500
33-55,Cloak of Protection,1000*,"1 0,000*"
56-60,Crystal Ball (M),1000**,"5,000**"
61,Crystal Hypnosis Ball (M),***,3000
62-63,Cube of Force,3000,20000
64-65,Cube of Frost Resistance,2000,14000
66-67,Cubic Gate,5000,17500
68-69,Daern's Instant Fortress,7000,27500
70-72,Decanter of Endless Water,1000,3000
73-76,Deck of Mony Things,***,10000
77,Drums of Deafening,***,500
78-79,Drums of Panic,6500,35000
80-85,Dust of Appearance,1000,4000
86-91,Dust of Disappearance,2000,8000
92,Dust of Sneezing and Choking,***,1000
93,Efreeti Bottle,9000,45000
94,Eversmoking Bottle,500,2500
95,Eyes of Charming (M),4000,24000
96-97,Eyes of the Eagle,3500,18000
98-99,Eyes of Minute Seeing,2000,12500
100,Eyes of Petrification,special***,special***
